,,,,,,,,Fiscal Year,,,,,
Taxi Medallion Transfer,529,735,244,532,"1,035",502,"1,539","1,437","3,401","5,735","9,757","8,003","11,009"
Off-Track Betting Surtax,434,414,643,619,729,631,928,913,"1,028","1,241","1,405","1,128","1,272"
Surcharge on Liquor Licenses,"5,228","1,665","6,543","5,714","7,121","7,173","6,347","6,504","6,176","6,309","5,772","5,759","5,487"
Coin-operated Amusement Devices,-,-,-,-,-,-,-,-,-,-,-,-,-
Refunds of Other Taxes,"-60,039","-59,602","-58,393","-72,945","-50,478","-112,843","-53,703","-45,447","-33,654","-28,608","-33,985","-31,422","-23,366"
Other,636,685,545,251,191,136,48,-,-,-,-,-,-
Total Other Taxes,"3,565,630","3,653,959","2,626,487","3,259,365","3,668,483","3,249,272","3,254,991","3,502,500","3,425,233","3,120,078","2,602,160","2,343,587","2,155,748"
Penalties and Interest on Delinquent Taxes:,,,,,,,,,,,,,
Penalties and Interest on Real Estate Taxes,"103,021","101,719","108,208","90,932","81,816","59,526","58,812","62,312","56,594","64,231","54,569","42,494","46,857"
Refunds--Penalties and Interest on Other Taxes,"-3,247","-6,194","-2,787","-7,845","-17,523","-3,162","-5,676","-4,987","-6,061","-3,364",-346,-407,-771
Total Penalties and Interest on Delinquent Taxes,"99,774","95,525","105,421","83,087","64,293","56,364","53,136","57,325","50,533","60,867","54,223","42,087","46,086"
Total Taxes,"73,436,777","69,596,880","65,533,867","63,089,672","61,493,500","59,103,947","54,662,405","53,620,649","51,941,341","48,375,412","45,721,783","42,111,386","40,349,804"
Federal Grants and Contracts--Categorical:,,,,,,,,,,,,,
General Government,"1,259,396","5,802,521","4,574,414","3,324,971","712,692","1,225,029","1,284,309","929,766","697,636","487,580","843,974","411,744","461,414"
Public Safety and Judicial,"291,484","272,260","250,631","334,376","386,161","341,350","320,868","359,385","374,406","404,044","488,961","291,806","299,543"
Education,"3,969,581","4,898,685","2,498,003","1,672,438","1,875,662","1,785,725","1,708,568","1,698,350","1,676,898","1,672,473","1,872,591","1,860,509","2,761,498"
Social Services,"3,141,372","2,492,457","3,306,074","3,012,760","3,619,906","3,437,321","3,531,602","3,296,021","3,140,540","3,274,678","3,392,702","3,362,564","3,290,895"
Environmental Protection,666,"6,394","4,155","35,582","3,651","4,782","1,335","1,554","6,502","28,267","694,502","26,945","7,833"
Transportation Services,"115,941","124,527","77,787","104,223","74,337","100,661","56,063","61,657","86,336","86,934","133,872","87,728","102,798"
"Parks, Recreation, and Cultural Activities",-824,515,215,"-5,114",424,928,"-5,832","-6,993","1,342","10,278","63,031","13,046","1,442"
Housing,"670,589","629,799","598,892","565,660","543,204","523,393","521,755","501,775","478,273","472,450","506,463","522,728","483,787"
Health,"448,842","708,830","1,098,430","349,841","305,851","348,442","311,032","353,139","320,211","332,299","422,472","420,758","304,615"
Libraries,-,24,-,-,-,-,-,-,-,-,156,-,-
City University,"77,196","111,359",31164,-,-,-,"-1,630",444,"1,892","-1,941","2,306",-,"32,836"
Total Federal Grants,"9,974,273","15,047,371","12,439,765","9,394,737","7,521,888","7,767,631","7,728,070","7,195,098","6,784,036","6,767,062","8,421,030","6,997,828","7,746,661"
State Grants and Contracts--Categorical:,,,,,,,,,,,,,
General Government,"1,287,764","1,128,970","1,084,303","1,004,457","923,324","944,486","705,576","798,438","671,196","642,319","480,178","351,598","518,005"
Public Safety and Judicial,"136,671","85,236","94,008","126,551","125,169","124,955","125,739","118,435","84,679","79,452","71,952","70,658","130,013"
Education,"12,352,744","11,942,729","10,633,009","11,493,497","11,185,252","10,709,714","10,250,072","9,612,191","9,131,458","7,907,175","7,933,480","8,011,639","8,110,198"
Social Services,"2,250,667","1,776,925","1,880,330","1,795,717","1,739,804","1,652,486","1,751,993","1,533,403","1,450,044","1,452,253","1,546,463","1,568,400","1,780,578"
Environmental Protection,"2,945","12,996",865,"3,431","1,966","10,882",649,506,877,162,"1,859","4,941","10,215"
Transportation Services,"280,365","239,987","248,582","234,477","205,732","219,065","332,716","163,311","165,084","158,183","150,030","167,427","152,532"
"Parks, Recreation and Cultural Activities","1,681",754,"1,021","1,101","1,280","1,394","1,083",875,"2,250","1,362","1,895","1,296","1,064"
Housing,611,614,722,814,988,795,784,867,683,649,"2,820","3,708","1,718"
Health,"511,022","421,137","423,063","428,008","523,468","534,843","573,166","534,486","363,987","453,532","494,823","535,597","397,240"
City University,"245,100","238,055","231,044","245,900","263,317","254,513","248,267","239,245","226,761","221,004","200,461","178,590","153,802"
General Debt Service Fund,,-,-,-,-,-,-,-,-,-,"143,000","219,921",-
Total State Grants,"17,069,570","15,847,403","14,596,947","15,333,953","14,970,300","14,453,133","13,990,045","13,001,757","12,097,019","10,916,091","11,026,961","11,113,775","11,255,365"
Non-Governmental Grants:,,,,,,,,,,,,,
General Government,"320,924","492,625","471,786","510,663","693,885","547,890","594,600","322,643","270,342","296,578","426,223","455,264","505,560"
Public Safety and Judicial,"265,494","25,273","372,045","217,719","226,278","225,917","214,833","212,186","190,415","222,536","283,613","314,376","301,750"
Education,"202,996","154,471","186,847","144,310","179,971","193,276","175,892","125,011","151,461","153,342","121,244","80,973","106,145"
Social Services,"6,615",-742,"2,315","3,312","3,985","1,351","3,131","3,039","3,000",44,206,6,199
Environmental Protection,"11,572","7,558","12,366","7,999","12,731","7,451","12,207","6,506","17,714","23,331","11,088","24,667","20,952"
Transportation Services,"2,299","2,204","3,794","5,123","2,686","3,923","4,774","1,890","2,026","1,916","1,339","1,256","1,853"
"Parks, Recreation and Cultural Activities","12,859","12,089","11,490","14,227","16,882","12,965","13,186","16,056","14,839","14,270","11,683","11,900","14,354"
Housing,"8,283","8,700","4,027",-963,"13,561","29,162","15,816","2,304","6,812","13,014","5,450","31,079","9,293"
Health,"38,305","16,507","1,866","48,755","30,405","65,869","20,373","2,773","1,144","-3,059","1,668","9,588","284,969"
Libraries,-,113,-,135,-,-,-,-,-,-,-,-,-
City University,"15,684","18,099","13,650","18,042","19,693","17,243","13,891","9,100","8,906","8,669","8,411","9,605","9,820"
Total Non-Governmental Grants,"885,031","736,897","1,080,186","969,322","1,200,077","1,105,047","1,068,703","701,508","666,659","730,614","870,925","938,714","1,254,895"
"Provision for Disallowances Federal, State and Other Aid","-13,374","-34,846","-24,062","-5,082","112,543","139,428","557,638",-772,"-109,972","-18,556","-59,202","166,018","-111,659"
Unrestricted Federal and State Aid:,,,,,,,,,,,,,
Intergovernmental Aid,"186,282","498,400",968,"10,861","150,539",-,"59,058","6,168",409,-,-,"25,000","38,997"
Total Unrestricted Federal and State Aid,"186,282","498,400",968,"10,861","150,539",-,"59,058","6,168",409,-,-,"25,000","38,997"
Charges for Services:,,,,,,,,,,,,,
General Government Charges,"847,921","849,742","862,563","951,449","1,030,694","1,026,587","1,032,731","1,000,531","973,756","950,834","871,676","850,005","776,041"
Water and Sewer,"1,710,007","1,574,864","1,687,273","1,614,829","1,469,601","1,389,954","1,385,446","1,297,294","1,439,415","1,490,550","1,361,055","1,373,038","1,294,533"
Housing,"15,793","23,144","14,088","30,729","27,854","34,652","40,384","47,413","48,131","33,635","42,280","24,201","20,705"
Rental Income,"266,036","249,020","233,535","258,430","273,141","260,504","252,867","279,119","283,835","311,441","296,753","291,225","253,403"
Total Charges for Services,"2,839,757","2,696,770","2,797,459","2,855,437","2,801,290","2,711,697","2,711,428","2,624,357","2,745,137","2,786,460","2,571,764","2,538,469","2,344,682"
Investment Income,"508,143","16,022","14,743","136,599","225,904","125,353","73,125","78,791","29,889","15,985","16,196","16,221","20,786"
"Licenses, Permits, Privileges and Franchises:",,,,,,,,,,,,,
Licenses,"78,991","67,942","63,863","74,660","85,140","91,433","102,915","90,592","81,458","80,082","64,696","64,116","57,027"
Permits,"290,503","294,604","265,188","297,110","356,561","310,314","288,628","285,909","277,378","233,044","204,191","190,358","160,422"
Privileges and Franchises,"393,537","288,656","296,095","327,638","360,650","373,795","378,638","352,041","344,172","334,707","323,703","328,780","307,221"
"Total Licenses, Permits, Privileges and Franchises","763,031","651,202","625,146","699,408","802,351","775,542","770,181","728,542","703,008","647,833","592,590","583,254","524,670"
Fines and Forfeitures:,,,,,,,,,,,,,
Fines,"1,453,989","1,229,072","1,034,804","1,077,292","1,107,441","1,025,910","983,551","992,714","957,006","890,356","811,355","854,677","816,664"
Forfeitures,"1,304","1,407",868,"1,873","1,287","1,547","1,305","1,859","2,279","1,826","3,372","3,885","3,431"
Total Fines and Forfeitures,"1,455,293","1,230,479","1,035,672","1,079,165","1,108,728","1,027,457","984,856","994,573","959,285","892,182","814,727","858,562","820,095"
Miscellaneous,"674,796","508,948","1,081,818","1,054,078","956,681","270,345","424,218","448,835","1,665,640","1,146,660","545,253","1,133,029","562,542"
Pollution Remediation-Bond Sales,"169,391","147,672","96,428","136,064","140,310","149,891","139,513","159,154","241,126","293,586","191,547","201,830","267,801"
Transfer from General Debt Service Fund,"48,047","50,861","60,554","78,090","80,976","81,810","82,067","82,047","81,786","81,474","86,115","88,133","67,503"
Transfer from Nonmajor Debt Service Fund,"240,623","234,594","247,720","225,838","219,215","225,114","217,051","345,777","229,949","245,700","229,538","209,446","177,755"
Total Revenues,"$108,237,610 ","$107,228,653 ","$99,587,211 ","$95,058,142 ","$91,784,302 ","$87,936,395 ","$83,468,358 ","$79,986,484 ","$78,035,312 ","$72,880,530 ","$71,029,227 ","$66,981,665 ","$65,319,897 "
