,,,,,,,,Fiscal Year,,,,,
,,,,,,,,(AMOUNTS IN THOUSANDS),,,,,
,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994
"Total Sales and Use Taxes","10,585,017","10,008,292","7,602,688","8,478,110","9,082,780","8,650,471","8,296,436","8,540,154","8,050,932","7,603,986","7,032,259","6,512,107","6,190,215","5,611,398","5,302,107","6,228,357","6,412,020","5,986,656","5,822,751","5,081,287","4,321,464","3,957,386","4,195,592","4,159,944","3,825,997","3,523,209","3,346,459","3,110,850","3,013,171","2,854,994"
"Personal Income Taxes (Net of Refunds)","14,828,978","16,733,563","15,140,380","13,591,179","13,376,944","13,411,315","11,257,809","11,392,473","11,294,669","10,173,614","9,814,898","8,557,002","8,165,972","7,592,657","7,518,903","9,764,209","7,963,170","7,675,813","6,656,334","6,012,580","4,492,947","4,555,059","5,757,074","5,364,597","5,389,598","5,136,827","4,377,184","3,919,555","3,601,527","3,555,642"
"Income Taxes, Other (Net of Refunds)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"General Corporation","6,535,408","6,177,190","5,447,251","5,170,058","4,728,619","4,101,887","4,045,398","3,631,441","3,335,917","3,367,328","3,348,349","2,845,794","2,898,760","2,441,559","2,806,050","3,710,121","3,874,665","2,738,481","2,403,988","1,840,392","1,533,807","1,621,438","1,977,713","2,008,778","1,752,269","1,827,403","1,858,609","1,518,634","1,363,778","1,386,319"
"Financial Corporation","455,382","63,645","413,269","82,902","(1,283)","394,858","435,658","689,535","1,658,179","1,352,349","1,467,473","1,421,401","1,519,450","1,145,165","1,398,491","690,830","1,387,977","925,029","651,480","502,306","324,173","366,920","469,126","434,121","499,412","577,702","459,606","503,722","394,829","683,196"
"Unincorporated Business","2,672,981","2,668,960","2,183,399","2,053,213","2,123,980","2,269,384","2,079,048","2,111,644","2,064,596","1,954,138","1,894,021","1,688,318","1,733,426","1,591,919","1,825,642","1,891,657","1,731,579","1,366,345","1,155,678","975,705","888,126","829,118","859,805","832,769","687,470","696,288","606,802","516,926","411,508","407,635"
"Pass-through Entity Tax","2,387,394","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Personal Income- (Non-Resident City Employees)","232,165","211,662","187,601","184,946","178,399","173,118","161,775","153,793","145,436","130,688","128,664","123,792","120,192","123,498","116,374","92,992","88,959","99,313","75,971","75,331","77,346","69,826","63,641","63,335","55,579","64,690","47,695","44,927","40,572","36,362"
"Utility","429,383","401,870","362,902","370,877","386,550","389,648","398,742","361,201","397,914","410,342","410,126","419,576","433,471","404,391","442,085","399,183","368,101","402,452","353,424","297,100","314,464","304,782","314,939","250,019","223,435","227,673","217,327","303,998","202,532","211,417"
"Total Income Taxes, Other","12,712,713","9,523,327","8,594,422","7,861,996","7,416,265","7,328,895","7,120,621","6,947,614","7,602,042","7,214,845","7,248,633","6,498,881","6,705,299","5,706,532","6,588,642","6,784,783","7,451,281","5,531,620","4,640,541","3,690,834","3,137,916","3,192,084","3,685,224","3,589,022","3,218,165","3,393,756","3,190,039","2,888,207","2,413,219","2,724,929"
"Other Taxes:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Payments in Lieu of Taxes","652,483","455,375","550,063","736,618","491,292","376,546","351,438","320,634","304,585","270,131","265,164","261,128","276,082","262,351","221,011","186,382","229,397","205,574","210,098","236,700","146,270","149,026","170,575","136,640","135,780","133,864","135,031","117,910","117,379","144,349"
"Hotel Room Occupancy","662,181","354,711","106,425","481,739","634,022","606,728","582,481","568,069","559,846","541,293","512,342","485,258","431,980","369,126","343,341","382,306","330,097","298,734","263,778","224,628","196,871","186,000","243,326","221,643","201,258","189,143","164,718","147,504","140,786","128,976"
"Commercial Rents","992,666","956,613","941,341","942,889","995,346","919,094","921,373","836,816","787,035","771,186","721,213","673,326","630,670","618,177","603,217","569,967","542,754","499,370","476,265","468,326","428,929","403,095","399,591","376,363","365,835","403,044","447,153","575,013","698,382","703,473"
"Horse Race Admissions","14","9","-","25","42","36","43","42","38","20","22","22","20","17","28","31","28","61","30","35","30","36","33","51","32","47","37","45","69","58"
"Conveyance of Real Property","1,287,403","1,918,387","1,058,480","1,140,136","1,563,388","1,426,869","1,418,683","1,788,182","1,772,193","1,530,167","1,096,432","917,652","798,977","616,157","746,522","1,416,913","1,726,232","1,305,502","1,062,326","775,554","518,700","428,995","479,708","486,835","427,918","290,689","219,612","180,055","172,656","154,033"
"Beer and Liquor Excise","24,095","24,967","20,596","23,787","25,795","24,400","25,814","25,350","24,585","22,604","24,038","22,733","23,617","23,682","23,503","23,720","22,563","22,927","22,062","22,182","21,942","22,355","21,478","21,227","20,937","20,684","20,477","21,813","21,131","21,652"
"Taxi Medallion Transfer","529","735","244","532","1,035","502","1,539","1,437","3,401","5,735","9,757","8,003","11,009","10,468","11,331","6,651","6,889","7,003","5,802","4,515","6,058","4,286","3,124","3,376","3,628","3,803","3,289","2,834","3,434","3,811"
"Off-Track Betting","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1,326","-","1,000","-","-","-","-","-","-","-","-"
"Off-Track Betting Surtax","434","414","643","619","729","631","928","913","1,028","1,241","1,405","1,128","1,272","2,966","3,632","17,717","19,014","19,995","19,513","20,062","19,920","20,708","-","-","-","-","-","-","-","-"
"Surcharge on Liquor Licenses","5,228","1,665","6,543","5,714","7,121","7,173","6,347","6,504","6,176","6,309","5,772","5,759","5,487","5,132","5,104","5,520","5,186","4,912","4,608","4,765","4,686","3,973","3,702","3,445","4,078","3,184","3,324","3,189","3,188","3,526"
"Coin-operated Amusement Devices","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","5","5","10","127","968","832","799","987"
"Refunds of Other Taxes","(60,039)","(59,602)","(58,393)","(72,945)","(50,478)","(112,843)","(53,703)","(45,447)","(33,654)","(28,608)","(33,985)","(31,422)","(23,366)","(27,380)","(30,639)","(28,906)","(30,587)","(25,091)","(21,278)","(26,870)","(20,396)","(15,856)","(24,561)","(17,941)","(21,754)","(12,881)","(14,630)","(14,682)","(11,273)","(12,128)"
"Other","636","685","545","251","191","136","48","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Total Other Taxes","3,565,630","3,653,596","2,626,487","3,259,365","3,668,483","3,249,272","3,254,991","3,502,500","3,425,233","3,120,078","2,602,160","2,343,587","2,155,748","1,880,696","1,927,050","2,580,301","2,851,573","2,338,987","2,043,204","1,731,223","1,323,010","1,203,618","1,296,981","1,231,644","1,137,722","1,031,704","979,979","1,034,513","1,146,551","1,148,737"
"Penalties and Interest on Delinquent Taxes:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Real Estate Taxes","103,021","101,719","108,208","90,932","81,816","59,526","58,812","62,312","56,594","64,231","54,569","42,494","46,857","42,982","50,849","41,801","46,680","43,193","-","-","-","-","10,259","50,245","58,020","77,499","89,178","70,329","48,824","86,230"
"PENALTIES AND INTEREST ON OTHER TAXES","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","178","(39)","2,370","2,326","3,379","3,432","5,224","3,564"
"Penalties and Interest on Real Estate Taxes","-","-","-","-","-","-","-","-","-","-","-","42,494","46,857","42,982","50,849","41,801","46,680","43,193","88,002","69,941","45,786","57,264","-","-","-","-","-","-","-","-"
"Refunds--Penalties and Interest on Other Taxes","(3,247)","(6,194)","(2,787)","(7,845)","(17,523)","(3,162)","(5,676)","(4,987)","(6,061)","(3,364)","(346)","(407)","(771)","(2,740)","(2,208)","(2,852)","(5,674)","(1,436)","(1,134)","(2,851)","(23,654)","(8,346)","(13,760)","(16,071)","(4,289)","(25,993)","(9,276)","(13,154)","(16,856)","(32,840)"
"Total Penalties and Interest on Delinquent Taxes","99,774","95,525","105,421","83,087","64,293","56,364","53,136","57,325","50,533","60,867","54,223","84,581","92,943","83,224","99,490","80,750","87,686","84,950","86,868","67,090","22,132","48,918","(3,323)","34,135","56,101","53,832","83,281","60,607","37,192","56,954"
"Total Taxes","73,436,777","69,596,880","65,533,867","63,089,672","61,493,500","59,103,947","54,662,405","53,620,649","51,941,341","48,375,411","45,721,783","42,153,880","40,396,661","37,243,954","35,923,423","38,642,330","37,888,542","34,254,381","30,865,637","28,165,342","23,360,398","21,717,938","23,177,133","22,229,304","21,258,256","20,378,521","19,267,627","18,114,092","17,685,240","18,114,578"
"Federal Grants--Categorical:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"General Government","1,259,396","5,802,521","3,324,971","3,324,971","712,692","1,225,029","1,284,309","929,766","697,636","487,580","843,974","411,744","461,414","528,590","423,889","406,315","363,310","441,288","1,441,857","417,429","487,315","861,466","291,211","301,107","282,529","307,126","316,699","293,706","310,174","283,110"
"Public Safety and Judicial","291,484","272,260","334,376","334,376","386,161","341,350","320,868","359,385","374,406","404,044","488,961","291,806","299,543","209,990","140,138","131,974","161,450","181,667","253,479","168,657","262,352","606,974","185,629","157,761","175,869","144,816","113,337","68,324","19,335","25,960"
"Education","3,969,581","4,898,685","1,672,438","1,672,438","1,875,662","1,785,725","1,708,568","1,698,350","1,676,898","1,672,473","1,872,591","1,860,509","2,761,498","2,911,468","1,716,836","1,738,835","1,744,740","1,693,170","1,909,387","1,770,164","1,594,929","1,363,769","1,226,506","1,127,539","1,053,010","1,004,989","928,837","887,206","856,943","882,001"
"City University","-","-","-","-","-","-","(1,630)","444","(1,892)","(1,941)","2,306","-","32,836","13,815","47","-","10","308","482","671","1,045","473","334","696","574","827","-","-","-","-"
"Social Services","-","2,492,457","3,012,760","3,012,760","3,619,906","3,437,321","3,531,602","3,296,021","3,140,540","3,274,678","3,392,702","3,362,564","3,290,895","3,164,127","2,841,140","2,728,381","2,522,283","2,284,066","2,483,704","2,535,087","2,758,041","2,699,480","2,460,141","2,492,021","2,352,596","2,454,896","2,424,058","2,421,286","2,514,486","2,512,600"
"Environmental Protection","666","6,394","35,582","35,582","3,651","4,782","1,335","1,554","6,502","28,267","694,502","26,945","7,833","7,010","5,936","9,346","5,468","53","108","202","25,381","82,433","108","183","-","33","13","14","183","936"
"Transportation Services","115,941","124,527","104,223","104,223","74,337","100,061","56,063","61,657","86,336","86,934","133,872","87,728","102,798","89,413","75,964","44,681","42,360","32,190","30,817","27,126","48,711","44,582","31,866","23,224","27,813","22,308","17,243","18,160","17,645","6,415"
"Parks, Recreation, and Cultural Activities","(824)","(515)","(5,114)","(5,114)","424","928","(5,832)","(6,993)","1,342","10,278","63,031","13,046","1,442","697","921","1,143","1,062","1,137","1,011","1,103","819","1,889","113","333","120","178","191","78","346","6"
"Housing","670,589","629,799","565,660","565,660","543,204","523,393","521,755","501,775","478,273","472,450","506,463","522,728","483,787","492,310","435,566","342,584","331,523","323,702","268,162","218,464","182,738","171,250","148,719","136,763","157,497","159,583","154,040","139,994","125,266","112,214"
"Health","448,842","708,830","349,841","349,841","305,851","348,442","311,032","353,139","320,211","332,299","422,472","420,758","304,615","282,589","300,260","288,419","298,999","285,839","264,947","275,930","256,559","264,424","205,137","177,597","212,116","197,673","178,579","365,094","161,519","136,393"
"Libraries","-","-","-","-","-","-","-","-","-","-","156","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Total Federal Grants","9,974,273","15,047,371","9,394,737","9,394,737","7,521,888","7,767,631","7,728,070","7,195,098","6,784,036","6,767,062","8,421,030","6,997,828","7,746,661","7,700,009","5,940,697","5,691,678","5,471,205","5,243,420","6,653,954","5,414,833","5,617,890","6,096,740","4,549,764","4,417,224","4,262,124","4,292,429","4,132,997","4,193,862","4,005,897","3,959,635"
"State Grants--Categorical:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"General Government","1,287,764","1,128,970","1,084,303","1,004,457","923,324","944,486","705,576","798,438","671,196","642,319","480,178","351,598","518,005","509,370","452,632","324,546","212,062","91,508","76,806","65,804","82,122","33,345","35,086","56,461","30,383","40,753","35,625","20,354","39,202","26,493"
"Public Safety and Judicial","136,671","85,326","94,008","126,551","125,169","124,955","125,739","118,435","84,679","79,452","71,952","70,658","130,013","138,919","152,265","161,601","175,945","147,592","158,755","137,426","141,599","125,576","146,155","156,091","160,226","138,012","133,728","124,376","132,421","126,997"
"Education","12,352,744","11,942,729","10,633,009","11,493,497","11,185,252","10,709,714","10,250,072","9,612,191","9,131,458","7,907,175","7,933,480","8,011,639","8,110,198","8,077,850","8,638,846","8,010,807","7,206,930","6,702,434","6,176,875","5,873,367","5,834,491","5,592,120","5,387,624","4,829,136","4,412,581","4,142,235","3,907,569","3,745,871","3,769,025","3,380,007"
"City University","245,100","238,055","231,044","245,900","263,317","254,513","248,267","239,245","226,761","221,004","200,461","178,590","153,802","173,227","178,471","174,465","164,725","153,431","140,432","138,864","132,894","130,600","-","-","-","-","-","-","-","-"
"General Debt Service Fund","-","-","-","-","-","-","-","-","-","-","143,000","219,921","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Senior Colleges","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","10,000","10,000","8,868","7,519","10,542","16,713"
"Community Colleges","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","128,001","122,500","117,335","113,781","111,142","109,015","113,141","117,192"
"Hunter Campus","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1,300","1,453","1,147","1,300","1,300","1,300","1,300","-"
"Social Services","2,250,667","1,776,925","1,880,330","1,795,717","1,739,804","1,652,486","1,751,993","1,533,403","1,450,044","1,452,253","1,546,463","1,568,400","1,780,578","2,138,936","2,072,897","2,097,658","1,924,215","1,934,180","1,759,971","1,750,383","1,600,682","1,610,728","1,602,448","1,402,109","1,462,547","1,566,657","1,690,999","1,743,422","2,007,034","1,918,530"
"Environmental Protection","2,945","12,996","865","3,431","1,966","10,882","649","506","877","162","1,859","4,941","10,215","2,062","8,060","7,130","1,435","21,279","2,825","11,105","303","285","152","247","-","247","496","(10,899)","18,627","7,690"
"Transportation Services","280,365","239,987","248,582","234,477","205,732","219,065","332,716","163,311","165,084","158,183","150,030","167,427","152,532","154,443","149,022","155,426","131,567","119,862","112,260","99,571","107,385","102,289","118,097","144,319","120,870","91,224","117,778","94,145","102,576","91,271"
"Parks, Recreation and Cultural Activities","1,681","754","1,021","1,101","1,280","1,394","1,083","875","2,250","1,362","1,895","1,296","1,064","1,370","2,207","931","868","690","537","440","856","477","713","716","362","273","500","511","600","590"
"Housing","611","614","722","814","988","795","784","867","683","649","2,820","3,708","1,718","1,075","1,945","1,723","1,820","59","951","942","877","862","(323)","862","865","858","2,248","2,106","819","926"
"Health","511,022","421,137","423,063","428,008","523,468","534,843","573,166","534,486","363,987","453,532","494,823","535,597","397,240","448,319","467,756","486,845","427,484","414,531","393,364","376,494","416,179","434,218","348,512","347,829","322,604","266,882","254,051","240,881","234,653","206,719"
"Libraries","-","-","-","135","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9,808"
"Total State Grants","17,069,570","15,847,403","14,596,947","15,333,953","14,970,300","14,453,133","13,990,045","13,001,757","12,097,019","10,916,091","11,026,961","11,113,775","11,255,365","11,645,571","12,124,101","11,421,132","10,247,051","9,585,566","8,822,776","8,454,396","8,317,388","8,030,500","7,767,765","7,061,723","6,638,920","6,372,222","6,264,304","6,078,601","6,429,940","5,902,936"
"Non-Governmental Grants:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"General Government","320,924","492,625","471,786","510,663","693,885","547,890","594,600","322,643","270,342","296,578","426,223","455,264","505,560","428,688","362,031","448,293","469,166","620,496","332,483","364,837","78,720","13,535","96,021","64,620","55,184","68,827","59,753","378,111","209,380","235,261"
"Public Safety and Judicial","265,494","25,273","372,045","217,719","226,278","225,917","214,833","212,186","190,415","222,536","283,613","314,376","301,750","287,729","302,315","262,196","238,939","232,904","188,034","209,223","228,350","241,734","205,464","208,304","209,363","213,609","216,037","167,567","31,025","12,295"
"Education","202,996","154,471","186,847","144,310","179,971","193,276","175,892","125,011","151,461","153,342","121,244","80,973","106,145","76,511","71,506","89,232","56,407","56,098","67,570","78,650","93,812","51,117","1,306","1,115","1,227","1,113","2,090","6,280","4,179","277"
"City University","6,615","18,099","13,650","18,042","3,985","1,351","13,891","9,100","8,906","8,669","8,411","9,605","9,820","1,154","1,364","1,731","1,657","2,628","3,355","1,639","2,474","287","125,255","74,281","52,336","70,957","53,337","51,707","37,355","13,606"
"Social Services","11,572","(742)","2,315","3,312","12,731","7,451","3,131","3,039","3,000","44","206","6","199","290","324","584","5","(43)","29,902","25,297","964","102,967","4,143","5,349","5,551","7,369","6,425","3,412","4,364","3,076"
"Environmental Protection","11,572","7,558","12,366","7,999","2,686","3,923","12,207","6,506","17,714","23,331","11,088","24,667","20,952","250,707","62,437","2,832","3,056","2,092","2,006","1,512","3,771","1,847","51,958","67,529","34,224","39,304","34,209","34,161","25,515","34,745"
"Transportation Services","2,299","2,204","3,794","5,123","16,882","12,965","4,774","1,890","2,026","1,916","1,339","1,256","1,853","1,891","1,161","1,697","1,809","893","4,688","26,988","1,575","1,253","347","360","201","459","402","334","42","228"
"Parks, Recreation and Cultural Activities","12,859","12,089","11,490","14,227","13,561","29,162","13,186","16,056","14,839","14,270","11,683","11,900","14,354","13,512","11,703","10,658","7,768","14,615","12,900","8,479","7,022","6,372","-","-","3,017","-","-","-","88","(4,716)"
"Housing","8,283","8,700","4,027","(963)","30,405","65,869","15,816","2,304","6,812","13,014","5,450","31,079","9,293","18,013","36,773","32,645","31,713","-","-","990","290","1,370","6,249","5,301","-","2,915","2,206","2,148","2,011","938"
"Health","38,305","16,507","1,866","48,755","19,693","17,243","20,373","2,773","1,144","(3,059)","1,668","9,588","284,969","294,284","253,611","239,641","226,869","219,922","221,438","238,793","510,901","98,247","1,010","4,567","5,356","6,977","4,589","3,598","4,618","3,607"
"Total Non-Governmental Grants","885,031","736,897","1,080,186","969,322","1,200,077","1,105,047","1,068,703","701,508","666,659","730,614","870,925","938,714","1,254,895","1,372,779","1,103,225","1,089,509","1,037,389","1,149,605","862,376","956,408","927,879","518,729","491,753","431,426","366,459","411,530","379,048","647,318","318,577","299,317"
"Provision for Disallowances Federal, State and Other Aid","(13,374)","(34,846)","(5,082)","(5,082)","112,543","139,428","557,638","(772)","(109,972)","(18,556)","(59,202)","166,018","(111,659)","-","-","(114,300)","(102,900)","(542,000)","(87,300)","(27,000)","(47,100)","-","(45,600)","(5,000)","(38,512)","(14,500)","(35,600)","(39,700)","(21,100)","(18,540)"
"Unrestricted Federal and State Aid:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Federal and State Revenue Sharing","-","-","-","-","-","-","-","-","-","-","-","-","-","(25,731)","327,390","242,090","20,000","327,390","327,390","327,463","400,390","327,890","326,890","405,286","328,147","327,390","322,281","368,870","325,211","300,232"
"Intergovernmental Aid","186,282","498,400","968","10,861","150,539","-","59,058","6,168","409","-","-","25,000","38,997","8,168","-","26","15,054","166,764","276,110","635,982","1,042,423","337,930","307,490","225,939","324,196","294,287","331,288","251,936","278,072","366,656"
"Total Unrestricted Federal and State Aid","186,282","498,400","968","10,861","150,539","-","59,058","6,168","409","-","-","25,000","38,997","(17,563)","327,390","242,116","35,054","494,154","603,500","963,445","1,442,813","665,820","634,380","631,225","652,343","621,677","653,569","620,806","603,283","666,888"
"Charges for Services:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"General Government Charges","847,921","849,742","862,563","951,449","1,030,694","1,026,587","1,032,731","1,000,531","973,756","950,834","871,676","850,005","776,041","745,949","687,060","638,214","613,162","611,316","613,905","592,269","500,602","461,182","439,187","438,996","439,757","434,713","428,222","415,397","396,079","388,869"
"Water and Sewer","1,710,007","1,574,864","1,687,273","1,614,829","1,469,601","1,389,954","1,385,446","1,297,294","1,439,415","1,490,550","1,361,055","1,373,038","1,294,533","1,539,845","1,283,505","1,202,190","1,063,873","989,545","899,324","884,745","846,352","857,907","842,525","801,255","777,652","822,800","775,318","730,963","738,561","717,846"
"Housing","15,793","23,144","14,088","30,729","27,854","34,652","40,384","47,413","48,131","33,635","42,280","24,201","20,705","18,802","18,925","28,661","32,441","26,909","22,449","18,147","25,864","24,411","25,311","21,339","21,504","12,552","17,582","27,357","36,790","37,146"
"Rental Income","266,036","249,020","233,535","258,430","273,141","260,504","252,867","279,119","283,835","311,441","296,753","291,225","253,403","234,388","255,434","256,805","211,276","209,189","943,694","107,738","108,564","114,894","153,869","138,916","114,251","151,389","142,962","138,723","126,530","132,812"
"Total Charges for Services","2,839,757","2,696,770","2,797,459","2,855,437","2,801,290","2,711,697","2,711,428","2,624,357","2,745,137","2,786,460","2,571,764","2,538,469","2,344,682","2,538,984","2,244,924","2,125,870","1,920,752","1,836,959","2,479,372","1,602,899","1,481,382","1,458,394","1,460,892","1,400,506","1,353,164","1,421,454","1,364,084","1,312,440","1,297,960","1,276,673"
"Investment Income","508,143","16,022","14,743","136,599","225,904","125,353","73,125","78,791","29,889","15,985","16,196","16,221","20,786","22,159","123,903","376,798","473,060","362,197","148,824","30,068","43,256","80,559","-","-","-","-","-","-","-","-"
"Licenses, Permits, Privileges and Franchises:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Licenses","78,991","67,942","63,863","74,660","85,140","91,433","102,915","90,592","81,458","80,082","64,696","64,116","57,027","56,306","49,436","52,805","45,568","50,221","47,050","45,006","45,948","46,899","44,784","54,866","42,751","45,620","40,900","38,206","40,544","39,522"
"Permits","290,503","294,604","265,188","297,110","356,561","310,314","288,628","285,909","277,378","233,044","204,191","190,358","160,422","140,419","151,234","160,791","146,683","136,475","121,898","106,683","99,312","94,572","97,193","93,117","87,501","84,173","72,184","71,815","70,372","65,656"
"Privileges and Franchises","393,537","288,656","296,095","327,638","360,650","373,795","378,638","352,041","344,172","334,707","323,703","328,780","307,221","290,717","291,969","288,635","277,776","231,198","226,242","222,694","212,103","214,228","196,264","180,943","161,225","142,715","132,210","127,198","111,610","119,968"
"Total Licenses, Permits, Privileges and Franchises","763,031","651,202","625,146","699,408","802,351","775,542","770,181","728,542","703,008","647,833","592,590","583,254","524,670","487,442","492,639","502,231","470,027","417,894","395,190","374,383","357,363","355,699","338,241","328,926","291,477","272,508","245,294","237,219","222,526","225,146"
"Fines and Forfeitures:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Fines","1,453,989","1,299,072","1,034,804","1,077,292","1,107,441","1,025,910","983,551","992,714","957,006","890,356","811,355","854,677","816,664","828,713","798,055","825,177","738,016","717,805","738,364","688,477","543,028","478,604","487,182","462,637","470,175","463,977","482,135","413,741","410,123","361,215"
"Forfeitures","1,304","1,407","868","1,873","1,287","1,547","1,305","1,859","2,279","1,826","3,372","3,885","3,431","4,397","4,182","4,477","3,355","5,719","7,035","8,757","6,149","6,727","7,522","5,830","8,888","4,454","8,425","2,816","6,674","7,907"
"Total Fines and Forfeitures","1,455,989","1,230,479","1,035,672","1,079,165","1,108,728","1,027,457","984,856","994,573","959,285","892,182","814,727","858,562","820,095","833,110","802,237","829,654","741,371","723,524","745,399","697,234","549,177","485,331","494,704","468,467","479,063","468,431","490,560","416,557","416,797","369,122"
"Miscellaneous","674,796","508,948","1,081,818","1,054,078","956,681","270,345","424,218","448,835","1,665,640","1,146,660","545,253","1,133,029","562,542","687,114","817,404","658,300","638,099","412,862","606,278","598,112","460,726","786,559","929,745","448,975","386,695","473,955","788,133","352,056","509,390","377,864"
"Tobacco Settlement","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","5,410","67,579","66,934","149,948","211,159","154,340","247,364","-","-","-","-","-","-"
"Interest Income","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","245,353","194,753","182,371","199,272","160,464","112,233","94,909","82,482"
"Total Other Revenues","-","-","-","-","-","-","-","-","-","-","-","2,574,845","1,907,307","2,007,666","2,112,280","1,990,185","1,849,497","1,559,690","1,814,446","1,736,663","1,517,214","1,838,748","2,162,383","1,688,485","1,339,606","1,414,166","1,684,451","1,118,065","1,243,622","1,054,614"
"Transfers:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TRANSFER FROM DISCRETELY PRESENTED COMPONENT UNIT:(1)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Off-Track Betting","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","12,500","9,180","11,350","11,000","10,100","5,508","3,490","-"
"Off-Track Betting Surtax","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","20,901","20,498","19,814","20,167","20,406","20,303","24,070","24,073"
