"","year","agency","funding_class","sum_rev","agency_total_budget","proportion"
"69",2011,"Fire Department","FEDERAL - OTHER",65465207.4099999,1733601337.17,0.04
"70",2011,"Fire Department","STATE",24323082.91,1733601337.17,0.01
"71",2011,"Housing Preservation and Development","FEDERAL - OTHER",541650310.019999,705427154.34,0.77
"72",2011,"Housing Preservation and Development","STATE",2828547.30000001,705427154.34,0
"73",2011,"Law Department","FEDERAL - OTHER",141688.23,135032600.01,0
"74",2011,"Law Department","STATE",71550,135032600.01,0
"75",2011,"Mayoralty","FEDERAL - OTHER",16093240.5800001,94883917.7599999,0.17
"76",2011,"Mayoralty","STATE",3715492.59,94883917.7599999,0.04
"77",2011,"Miscellaneous","FEDERAL - OTHER",14175775.86,6025252217.32,0
"78",2011,"Miscellaneous","STATE",463970814.28,6025252217.32,0.08
"79",2011,"Office of Payroll Administration","STATE",30066,57618637.23,0
"80",2011,"Office of Prosecution - Special Narcotics","FEDERAL - OTHER",771468.53,17897741.68,0.04
"81",2011,"Office of Prosecution - Special Narcotics","STATE",1148934,17897741.68,0.06
"82",2011,"Police Department","FEDERAL - OTHER",180823776.7,4804760396.19,0.04
"83",2011,"Police Department","STATE",26556599.4,4804760396.19,0.01
"84",2012,"Administration for Children's Services","FEDERAL - OTHER",1347877392.06,2854525550.31001,0.47
"85",2012,"Administration for Children's Services","STATE",708816776.729999,2854525550.31001,0.25
"86",2012,"Board of Elections","FEDERAL - OTHER",72005.23,109838524.7,0
"87",2012,"Board of Elections","STATE",390874.38,109838524.7,0
"88",2012,"Borough President - Bronx","FEDERAL - OTHER",291612.39,4867591.55,0.06
"89",2012,"Borough President - Brooklyn","FEDERAL - OTHER",648275.19,5139671.54,0.13
"90",2012,"Borough President - Brooklyn","STATE",5222.96,5139671.54,0
"91",2012,"Borough President - Manhattan","STATE",0,4541046.53,0
"92",2012,"Borough President - Queens","FEDERAL - OTHER",431684.1,4587110.91,0.09
"93",2012,"Business Integrity Commission","FEDERAL - OTHER",201503.14,6794205.71,0.03
"94",2012,"City Clerk","STATE",51972,4410463.75,0.01
"95",2012,"City University of New York","FEDERAL - OTHER",0,791320454.83,0
"96",2012,"City University of New York","STATE",178591878,791320454.83,0.23
"97",2012,"Commission on Human Rights","FEDERAL - OTHER",119400,6033433.62,0.02
"98",2012,"Debt Service","FEDERAL - OTHER",180412364.59,4256603202.29,0.04
"99",2012,"Debt Service","STATE",219921278.89,4256603202.29,0.05
"100",2012,"Department for the Aging","FEDERAL - OTHER",72649392.86,257781009.96,0.28
"101",2012,"Department for the Aging","STATE",35732735.83,257781009.96,0.14
"102",2012,"Department of City Planning","FEDERAL - OTHER",2381096,22831837.11,0.1
"103",2012,"Department of City Planning","STATE",165796,22831837.11,0.01
"104",2012,"Department of Citywide Administrative Services","FEDERAL - OTHER",76168629.4399999,1091244708.68,0.07
"105",2012,"Department of Citywide Administrative Services","STATE",103456631.09,1091244708.68,0.09
"106",2012,"Department of Consumer Affairs","STATE",2451124.15,26263930.59,0.09
"107",2012,"Department of Correction","FEDERAL - OTHER",13631071.87,1078788923.12,0.01
"108",2012,"Department of Correction","STATE",1330197.48,1078788923.12,0
"109",2012,"Department of Cultural Affairs","FEDERAL - OTHER",116485.65,147748790.85,0
"110",2012,"Department of Cultural Affairs","STATE",7.27595761418343e-12,147748790.85,0
"111",2012,"Department of Design and Construction","FEDERAL - OTHER",542592.1,127276449.87,0
"112",2012,"Department of Education","FEDERAL - OTHER",1911695246.14,19283255938.65,0.1
"113",2012,"Department of Education","STATE",8067496730.20001,19283255938.65,0.42
"114",2012,"Department of Emergency Management","FEDERAL - OTHER",20361390.7,23382692.89,0.87
"115",2012,"Department of Emergency Management","STATE",9120.99999999999,23382692.89,0
"116",2012,"Department of Environmental Protection","FEDERAL - OTHER",19888530.67,1059047714.01,0.02
"117",2012,"Department of Environmental Protection","STATE",230948.57,1059047714.01,0
"118",2012,"Department of Finance","STATE",75000,221346281.43,0
"119",2012,"Department of Health and Mental Hygiene","FEDERAL - OTHER",427355061.890001,1569568965.85,0.27
"120",2012,"Department of Health and Mental Hygiene","STATE",645847387.250003,1569568965.85,0.41
"121",2012,"Department of Homeless Services","FEDERAL - OTHER",167147457.77,900520778.109999,0.19
"122",2012,"Department of Homeless Services","STATE",9713526.77999997,900520778.109999,0.01
"123",2012,"Department of Information Technology and Telecommunications","FEDERAL - OTHER",24130009.73,452499406.34,0.05
"124",2012,"Department of Information Technology and Telecommunications","STATE",62500,452499406.34,0
"125",2012,"Department of Investigation","STATE",0,21288345.72,0
"126",2012,"Department of Juvenile Justice","FEDERAL - OTHER",0,0,NA
"127",2012,"Department of Juvenile Justice","STATE",0,0,NA
"128",2012,"Department of Parks and Recreation","FEDERAL - OTHER",12947837.49,361329055.18,0.04
"129",2012,"Department of Parks and Recreation","STATE",1648331.43,361329055.18,0
"130",2012,"Department of Probation","FEDERAL - OTHER",250595.14,79679106.93,0
"131",2012,"Department of Probation","STATE",13217704.19,79679106.93,0.17
"132",2012,"Department of Records and Information Services","FEDERAL - OTHER",213914,5191372.92,0.04
"133",2012,"Department of Records and Information Services","STATE",352918,5191372.92,0.07
"134",2012,"Department of Sanitation","FEDERAL - OTHER",7710557.64,1281217750.8,0.01
"135",2012,"Department of Sanitation","STATE",4845814.68,1281217750.8,0
"136",2012,"Department of Small Business Services","FEDERAL - OTHER",44038806.4300001,137632959.09,0.32
"137",2012,"Department of Small Business Services","STATE",1261797.93999946,137632959.09,0.01
"138",2012,"Department of Social Services","FEDERAL - OTHER",1672887166.92,9391226679.85,0.18
"139",2012,"Department of Social Services","STATE",863184466.770001,9391226679.85,0.09
"140",2012,"Department of Transportation","FEDERAL - OTHER",87744784.55,839794909.379996,0.1
"141",2012,"Department of Transportation","STATE",288249394.35,839794909.379996,0.34
"142",2012,"Department of Youth and Community Development","FEDERAL - OTHER",69345011.59,325033650.61,0.21
"143",2012,"Department of Youth and Community Development","STATE",14082170.01,325033650.61,0.04
"144",2012,"District Attorney - Bronx County","FEDERAL - OTHER",1329774.42,50167145.93,0.03
"145",2012,"District Attorney - Bronx County","STATE",3781688.62,50167145.93,0.08
"146",2012,"District Attorney - New York County","FEDERAL - OTHER",1416328.27,105204879.25,0.01
"147",2012,"District Attorney - New York County","STATE",8406379.97,105204879.25,0.08
"148",2012,"District Attorney - Queens County","FEDERAL - OTHER",1540543,49347374.98,0.03
"149",2012,"District Attorney - Queens County","STATE",4279030.02,49347374.98,0.09
"150",2012,"District Attorney -Kings County","FEDERAL - OTHER",2096548.17,87341364.29,0.02
"151",2012,"District Attorney -Kings County","STATE",3360110.49,87341364.29,0.04
"152",2012,"District Attorney -Richmond County","FEDERAL - OTHER",506491.42,8689970.33,0.06
"153",2012,"District Attorney -Richmond County","STATE",537282,8689970.33,0.06
"154",2012,"Fire Department","FEDERAL - OTHER",68461152.49,1757227791.2,0.04
"155",2012,"Fire Department","STATE",24486550.8,1757227791.2,0.01
"156",2012,"Health and Hospitals Corporation","FEDERAL - OTHER",2749953.28,207543578.65,0.01
"157",2012,"Housing Preservation and Development","FEDERAL - OTHER",571005616.24,731342996.860001,0.78
"158",2012,"Housing Preservation and Development","STATE",3786894.88999999,731342996.860001,0.01
"159",2012,"Law Department","FEDERAL - OTHER",191329.9,137434888,0
"160",2012,"Law Department","STATE",0,137434888,0
"161",2012,"Mayoralty","FEDERAL - OTHER",10632216.7199995,93346417.97,0.11
"162",2012,"Mayoralty","STATE",3476328.56,93346417.97,0.04
"163",2012,"Miscellaneous","FEDERAL - OTHER",2522405.28,6137515964.9,0
"164",2012,"Miscellaneous","STATE",261424899.72,6137515964.9,0.04
"165",2012,"Office of Payroll Administration","STATE",0,14226606.59,0
"166",2012,"Office of Prosecution - Special Narcotics","FEDERAL - OTHER",913274.28,17829560.29,0.05
"167",2012,"Office of Prosecution - Special Narcotics","STATE",1089364.89,17829560.29,0.06
"168",2012,"Police Department","FEDERAL - OTHER",183906308.19,4867891492.55,0.04
"169",2012,"Police Department","STATE",28381940.44,4867891492.55,0.01
"170",2013,"Administration for Children's Services","FEDERAL - OTHER",1291520929.92,2805021494.22,0.46
"171",2013,"Administration for Children's Services","STATE",702139140.73,2805021494.22,0.25
"172",2013,"Board of Elections","FEDERAL - OTHER",5735691.08,107472655.22,0.05
"173",2013,"Board of Elections","STATE",1157306.32,107472655.22,0.01
"174",2013,"Borough President - Bronx","FEDERAL - OTHER",492537.73,4982004.77,0.1
"175",2013,"Borough President - Bronx","STATE",79052.99,4982004.77,0.02
"176",2013,"Borough President - Brooklyn","FEDERAL - OTHER",480051.85,5210421.77,0.09
"177",2013,"Borough President - Brooklyn","STATE",114708.59,5210421.77,0.02
"178",2013,"Borough President - Queens","FEDERAL - OTHER",451128.89,4602232.81,0.1
"179",2013,"Business Integrity Commission","FEDERAL - OTHER",975.569999999745,6995341.24,0
"180",2013,"Business Integrity Commission","STATE",74998,6995341.24,0.01
"181",2013,"City Clerk","STATE",34422,4406672.95,0.01
"182",2013,"City Council","FEDERAL - OTHER",-1.81898940354586e-12,51590697.19,0
"183",2013,"City University of New York","FEDERAL - OTHER",2305574.42,838709852.150001,0
"184",2013,"City University of New York","STATE",200463178.81,838709852.150001,0.24
"185",2013,"Civilian Complaint Review Board","FEDERAL - OTHER",201227.5,10608389.38,0.02
"186",2013,"Commission on Human Rights","FEDERAL - OTHER",148300,6131374.84,0.02
"187",2013,"Debt Service","FEDERAL - OTHER",198561148.68,6332881216.84,0.03
"188",2013,"Debt Service","STATE",143000000.02,6332881216.84,0.02
"189",2013,"Department for the Aging","FEDERAL - OTHER",80754989.5600001,262151977.55,0.31
"190",2013,"Department for the Aging","STATE",37669400.71,262151977.55,0.14
"191",2013,"Department of Buildings","FEDERAL - OTHER",4536420,102454746.35,0.04
"192",2013,"Department of City Planning","FEDERAL - OTHER",2461031.3,20928021.31,0.12
"193",2013,"Department of City Planning","STATE",174100,20928021.31,0.01
"194",2013,"Department of Citywide Administrative Services","FEDERAL - OTHER",58075929.47,1177552275.31,0.05
"195",2013,"Department of Citywide Administrative Services","STATE",2080201.22000001,1177552275.31,0
"196",2013,"Department of Consumer Affairs","FEDERAL - OTHER",19781.1,27285501.64,0
"197",2013,"Department of Consumer Affairs","STATE",2188017.39,27285501.64,0.08
"198",2013,"Department of Correction","FEDERAL - OTHER",22914043.23,1090909336.95,0.02
"199",2013,"Department of Correction","STATE",998205.099999997,1090909336.95,0
"200",2013,"Department of Cultural Affairs","FEDERAL - OTHER",478839.54,146482046.04,0
"201",2013,"Department of Cultural Affairs","STATE",7.27595761418343e-12,146482046.04,0
"202",2013,"Department of Design and Construction","FEDERAL - OTHER",10027583.88,138142161.89,0.07
"203",2013,"Department of Education","FEDERAL - OTHER",1876918777.86,19232416908.44,0.1
"204",2013,"Department of Education","STATE",7978086486.41996,19232416908.44,0.41
"205",2013,"Department of Emergency Management","FEDERAL - OTHER",26672887.78,41539093.2,0.64
"206",2013,"Department of Emergency Management","STATE",35625,41539093.2,0
"207",2013,"Department of Environmental Protection","FEDERAL - OTHER",566881169.42,1727258641.93,0.33
"208",2013,"Department of Environmental Protection","STATE",2001668.2,1727258641.93,0
"209",2013,"Department of Finance","FEDERAL - OTHER",244658.33,222290453.87,0
"210",2013,"Department of Finance","STATE",447150,222290453.87,0
"211",2013,"Department of Health and Mental Hygiene","FEDERAL - OTHER",412857886.31,1505969932.14,0.27
"212",2013,"Department of Health and Mental Hygiene","STATE",584044146.639999,1505969932.14,0.39
"213",2013,"Department of Homeless Services","FEDERAL - OTHER",392296942.33,984266656.039998,0.4
"214",2013,"Department of Homeless Services","STATE",107094670.85,984266656.039998,0.11
"215",2013,"Department of Information Technology and Telecommunications","FEDERAL - OTHER",20831586.83,431624256.67,0.05
"216",2013,"Department of Information Technology and Telecommunications","STATE",4180867,431624256.67,0.01
"217",2013,"Department of Investigation","FEDERAL - OTHER",13350896.64,36370825.26,0.37
"218",2013,"Department of Juvenile Justice","STATE",0,0,NA
"219",2013,"Department of Parks and Recreation","FEDERAL - OTHER",62566649.13,426327968.42,0.15
"220",2013,"Department of Parks and Recreation","STATE",6226535.96,426327968.42,0.01
"221",2013,"Department of Probation","FEDERAL - OTHER",356766.099999999,81715959.2599999,0
"222",2013,"Department of Probation","STATE",13391677.83,81715959.2599999,0.16
"223",2013,"Department of Records and Information Services","FEDERAL - OTHER",20649.8,5469697.46,0
"224",2013,"Department of Records and Information Services","STATE",413499,5469697.46,0.08
"225",2013,"Department of Sanitation","FEDERAL - OTHER",127860119.83,1369767873.23,0.09
"226",2013,"Department of Sanitation","STATE",120225.37,1369767873.23,0
"227",2013,"Department of Small Business Services","FEDERAL - OTHER",73901353.47,150340042.46,0.49
"228",2013,"Department of Small Business Services","STATE",5090227.77000003,150340042.46,0.03
"229",2013,"Department of Social Services","FEDERAL - OTHER",1698738213.76,9513689609.49002,0.18
"230",2013,"Department of Social Services","STATE",740426798.900001,9513689609.49002,0.08
"231",2013,"Department of Transportation","FEDERAL - OTHER",136085808.69,833339536.75,0.16
"232",2013,"Department of Transportation","STATE",89481859.6699998,833339536.75,0.11
"233",2013,"Department of Youth and Community Development","FEDERAL - OTHER",51478539.8800001,345896262.66,0.15
"234",2013,"Department of Youth and Community Development","STATE",18393054.34,345896262.66,0.05
"235",2013,"District Attorney - Bronx County","FEDERAL - OTHER",1308386.31,52873443.9,0.02
"236",2013,"District Attorney - Bronx County","STATE",4026481.13,52873443.9,0.08
"237",2013,"District Attorney - New York County","FEDERAL - OTHER",1738637.92,104551107.09,0.02
"238",2013,"District Attorney - New York County","STATE",9254684.44000001,104551107.09,0.09
"239",2013,"District Attorney - Queens County","FEDERAL - OTHER",927290.71,50497380.71,0.02
"240",2013,"District Attorney - Queens County","STATE",4145135.76,50497380.71,0.08
"241",2013,"District Attorney -Kings County","FEDERAL - OTHER",1508959.96,88348062.51,0.02
"242",2013,"District Attorney -Kings County","STATE",4891480.5800001,88348062.51,0.06
"243",2013,"District Attorney -Richmond County","FEDERAL - OTHER",327292.27,8943120.41,0.04
"244",2013,"District Attorney -Richmond County","STATE",609154,8943120.41,0.07
"245",2013,"Financial Information Services Agency","FEDERAL - OTHER",62049.38,83052731.31,0
"246",2013,"Fire Department","FEDERAL - OTHER",102529925.32,1833309111.59,0.06
"247",2013,"Fire Department","STATE",24741573.37,1833309111.59,0.01
"248",2013,"Health and Hospitals Corporation","FEDERAL - OTHER",80799919.75,507226292.59,0.16
"249",2013,"Housing Preservation and Development","FEDERAL - OTHER",497525702.749997,675259772.45,0.74
"250",2013,"Housing Preservation and Development","STATE",2457264.17000002,675259772.45,0
"251",2013,"Landmarks Preservation Commission","STATE",13465,4451842.42,0
"252",2013,"Law Department","FEDERAL - OTHER",262728.71,143851577.41,0
"253",2013,"Mayoralty","FEDERAL - OTHER",14181392.8000004,93177180.4299998,0.15
"254",2013,"Mayoralty","STATE",3430297.75,93177180.4299998,0.04
"255",2013,"Miscellaneous","FEDERAL - OTHER",-208202.05,6316891953.18,0
"256",2013,"Miscellaneous","STATE",380828782.7,6316891953.18,0.06
"257",2013,"NYC Taxi and Limousine Commission","FEDERAL - OTHER",231149.45,36743007.12,0.01
"258",2013,"New York Public Library","FEDERAL - OTHER",156000,113166194.27,0
"259",2013,"Office of Administrative Trials & Hearings","FEDERAL - OTHER",36725.47,30725783.96,0
"260",2013,"Office of Administrative Trials and Hearings","FEDERAL - OTHER",1,NA,NA
"261",2013,"Office of Collective Bargaining","FEDERAL - OTHER",5426.95,2105541.6,0
"262",2013,"Office of Prosecution - Special Narcotics","FEDERAL - OTHER",680453.07,18145713.81,0.04
"263",2013,"Office of Prosecution - Special Narcotics","STATE",1084617,18145713.81,0.06
"264",2013,"Police Department","FEDERAL - OTHER",326661417.37,4892569498.43,0.07
"265",2013,"Police Department","STATE",21004634.2,4892569498.43,0
"266",2013,"Public Advocate","FEDERAL - OTHER",1002.17,2242956.13,0
"267",2014,"Administration for Children's Services","FEDERAL - OTHER",1284962459.71,2785452949.01,0.46
"268",2014,"Administration for Children's Services","STATE",753077861.09,2785452949.01,0.27
"269",2014,"Board of Elections","FEDERAL - OTHER",402603.76,116162965.96,0
"270",2014,"Board of Elections","STATE",236984.74,116162965.96,0
"271",2014,"Borough President - Bronx","FEDERAL - OTHER",153137.93,4901011.8,0.03
"272",2014,"Borough President - Bronx","STATE",1e+05,4901011.8,0.02
"273",2014,"Borough President - Brooklyn","FEDERAL - OTHER",650332.08,5088756.23,0.13
"274",2014,"Borough President - Brooklyn","STATE",83000,5088756.23,0.02
"275",2014,"Borough President - Queens","FEDERAL - OTHER",629463.05,4985408.61,0.13
"276",2014,"Brooklyn Community Board # 6","STATE",29250,4483.81,6.52
"277",2014,"Business Integrity Commission","FEDERAL - OTHER",452730.889999999,7259451.22,0.06
"278",2014,"Business Integrity Commission","STATE",42129,7259451.22,0.01
"279",2014,"Campaign Finance Board","FEDERAL - OTHER",54629.91,53530621.79,0
"280",2014,"City Clerk","STATE",0,4753224.22,0
"281",2014,"City Council","FEDERAL - OTHER",11760.59,51540901.65,0
"282",2014,"City University of New York","FEDERAL - OTHER",14384.2899999999,891856651.23,0
"283",2014,"City University of New York","STATE",221002879.19,891856651.23,0.25
"284",2014,"Civilian Complaint Review Board","FEDERAL - OTHER",7.27595761418343e-12,11202272.16,0
"285",2014,"Commission on Human Rights","FEDERAL - OTHER",54300,5582147.67,0.01
"286",2014,"Debt Service","FEDERAL - OTHER",194708724.59,4797630447.29,0.04
"287",2014,"Debt Service","STATE",-1.19209289550781e-07,4797630447.29,0
"288",2014,"Department for the Aging","FEDERAL - OTHER",69956995.57,263876140.65,0.27
"289",2014,"Department for the Aging","STATE",37310569.92,263876140.65,0.14
"290",2014,"Department of Buildings","FEDERAL - OTHER",-5.82076609134674e-11,98678600.57,0
"291",2014,"Department of City Planning","FEDERAL - OTHER",2237467.54,20556153.51,0.11
"292",2014,"Department of City Planning","STATE",49364.4,20556153.51,0
"293",2014,"Department of Citywide Administrative Services","FEDERAL - OTHER",7892391.14000001,1201703718.01,0.01
"294",2014,"Department of Citywide Administrative Services","STATE",87136502.9400001,1201703718.01,0.07
"295",2014,"Department of Consumer Affairs","FEDERAL - OTHER",0,32474088.52,0
"296",2014,"Department of Consumer Affairs","STATE",2568001.01,32474088.52,0.08
"297",2014,"Department of Correction","FEDERAL - OTHER",8257903.77,1103097246.83,0.01
"298",2014,"Department of Correction","STATE",1152812.99,1103097246.83,0
"299",2014,"Department of Cultural Affairs","FEDERAL - OTHER",818021.81,156509000.66,0.01
"300",2014,"Department of Cultural Affairs","STATE",0,156509000.66,0
"301",2014,"Department of Design and Construction","FEDERAL - OTHER",1082473.22,127267498.7,0.01
"302",2014,"Department of Education","FEDERAL - OTHER",1710789830.39,20085287439.5,0.09
"303",2014,"Department of Education","STATE",8485032583.20997,20085287439.5,0.42
"304",2014,"Department of Emergency Management","FEDERAL - OTHER",36545627.65,34552165.97,1.06
"305",2014,"Department of Emergency Management","STATE",0,34552165.97,0
"306",2014,"Department of Environmental Protection","FEDERAL - OTHER",61519576.8000001,1192580843.62,0.05
"307",2014,"Department of Environmental Protection","STATE",159002.13,1192580843.62,0
"308",2014,"Department of Finance","STATE",65350,240288938.17,0
"309",2014,"Department of Health and Mental Hygiene","FEDERAL - OTHER",309510123.290001,1423185133.86,0.22
"310",2014,"Department of Health and Mental Hygiene","STATE",520954906.74,1423185133.86,0.37
"311",2014,"Department of Homeless Services","FEDERAL - OTHER",416652028,1043282390.09,0.4
"312",2014,"Department of Homeless Services","STATE",138427215.34,1043282390.09,0.13
"313",2014,"Department of Information Technology and Telecommunications","FEDERAL - OTHER",10135664.33,467486468.73,0.02
"314",2014,"Department of Information Technology and Telecommunications","STATE",26535,467486468.73,0
"315",2014,"Department of Investigation","FEDERAL - OTHER",4997874.52,29030335.96,0.17
"316",2014,"Department of Investigation","STATE",74840,29030335.96,0
"317",2014,"Department of Parks and Recreation","FEDERAL - OTHER",9487873.70000001,413278056.65,0.02
"318",2014,"Department of Parks and Recreation","STATE",15928425.95,413278056.65,0.04
"319",2014,"Department of Probation","FEDERAL - OTHER",196090.86,83180631.7599999,0
"320",2014,"Department of Probation","STATE",13298487.43,83180631.7599999,0.16
"321",2014,"Department of Records and Information Services","FEDERAL - OTHER",115649,5609640.52,0.02
"322",2014,"Department of Records and Information Services","STATE",252461,5609640.52,0.05
"323",2014,"Department of Sanitation","FEDERAL - OTHER",699615,1414222208.07,0
"324",2014,"Department of Sanitation","STATE",25000,1414222208.07,0
"325",2014,"Department of Small Business Services","FEDERAL - OTHER",67726049.94,202310218.35,0.33
"326",2014,"Department of Small Business Services","STATE",2853952.03999997,202310218.35,0.01
"327",2014,"Department of Social Services","FEDERAL - OTHER",1662886050.46001,9531094453.57,0.17
"328",2014,"Department of Social Services","STATE",636826324.2,9531094453.57,0.07
"329",2014,"Department of Transportation","FEDERAL - OTHER",109798761.14,860606361.57,0.13
"330",2014,"Department of Transportation","STATE",175664253.210001,860606361.57,0.2
"331",2014,"Department of Youth and Community Development","FEDERAL - OTHER",75854693.6799999,404446427.38,0.19
"332",2014,"Department of Youth and Community Development","STATE",4721712.45,404446427.38,0.01
"333",2014,"District Attorney - Bronx County","FEDERAL - OTHER",1252866.56,55675152.57,0.02
"334",2014,"District Attorney - Bronx County","STATE",3799494.23,55675152.57,0.07
"335",2014,"District Attorney - New York County","FEDERAL - OTHER",1640539.18,97595328.0499999,0.02
"336",2014,"District Attorney - New York County","STATE",8853835.27,97595328.0499999,0.09
"337",2014,"District Attorney - Queens County","FEDERAL - OTHER",817890.84,53112892.31,0.02
"338",2014,"District Attorney - Queens County","STATE",4323872.71,53112892.31,0.08
"339",2014,"District Attorney -Kings County","FEDERAL - OTHER",810995.56,87843714.89,0.01
"340",2014,"District Attorney -Kings County","STATE",3656086.11,87843714.89,0.04
"341",2014,"District Attorney -Richmond County","FEDERAL - OTHER",236742.95,9294166.81,0.03
"342",2014,"District Attorney -Richmond County","STATE",612812,9294166.81,0.07
"343",2014,"Financial Information Services Agency","FEDERAL - OTHER",10260.25,82449304.53,0
"344",2014,"Fire Department","FEDERAL - OTHER",97412201.61,1879465098.1,0.05
