"","revenue_category","subcategory","category","fiscal_year","Categorical.Citywide.Rev","FY_CPI","Adjusted.Categorical.Citywide.Rev"
"277","State Grants and Contracts--Categorical","Education","Education",2021,10633009000,263.1505,12508681962
"278","State Grants and Contracts--Categorical","Social Services","Social Services",2021,1880330000,263.1505,2212022011
"279","State Grants and Contracts--Categorical","Environmental Protection","Environmental Protection",2021,865000,263.1505,1017587
"280","State Grants and Contracts--Categorical","Transportation Services","Transportation Services",2021,248582000,263.1505,292432103
"281","State Grants and Contracts--Categorical","Parks, Recreation and Cultural Activities","Parks, Recreation and Cultural Activities",2021,1021000,263.1505,1201105
"282","State Grants and Contracts--Categorical","Housing","Housing",2021,722000,263.1505,849361
"283","State Grants and Contracts--Categorical","Health","Health",2021,423063000,263.1505,497691718
"284","State Grants and Contracts--Categorical","City University","City University",2021,231044000,263.1505,271800383
"285","State Grants and Contracts--Categorical","General Debt Service Fund","General Debt Service Fund",2021,0,263.1505,0
"286","Non-Governmental Grants","General Government","General Government",2021,471786000,263.1505,555009502
"287","Non-Governmental Grants","Public Safety and Judicial","Public Safety and Judicial",2021,372045000,263.1505,437674094
"288","Non-Governmental Grants","Education","Education",2021,186847000,263.1505,219806990
"289","Non-Governmental Grants","Social Services","Social Services",2021,2315000,263.1505,2723368
"290","Non-Governmental Grants","Environmental Protection","Environmental Protection",2021,12366000,263.1505,14547374
"291","Non-Governmental Grants","Transportation Services","Transportation Services",2021,3794000,263.1505,4463265
"292","Non-Governmental Grants","Parks, Recreation and Cultural Activities","Parks, Recreation and Cultural Activities",2021,11490000,263.1505,13516847
"293","Non-Governmental Grants","Housing","Housing",2021,4027000,263.1505,4737367
"294","Non-Governmental Grants","Health","Health",2021,1866000,263.1505,2195164
"295","Non-Governmental Grants","Libraries","Libraries",2021,0,263.1505,0
"296","Non-Governmental Grants","City University","City University",2021,13650000,263.1505,16057873
"297","Provision for Disallowances Federal, State and Other Aid","Provision for Disallowances Federal, State and Other Aid","Provision for Disallowances Federal, State and Other Aid",2021,-24062000,263.1505,-28306560
"298","Unrestricted Federal and State Aid","Intergovernmental Aid","Intergovernmental Aid",2021,968000,263.1505,1138756
"299","Charges for Services","General Government Charges","General Government Charges",2021,862563000,263.1505,1014719939
"300","Charges for Services","Water and Sewer","Water and Sewer",2021,1687273000,263.1505,1984909572
"301","Charges for Services","Housing","Housing",2021,14088000,263.1505,16573137
